created_at,id,id_str,full_text,truncated,display_text_range,entities,extended_entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,lang,quoted_status,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,tweet_id,jpg_url,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf
Tue Aug 01 16:23:56 +0000 2017,8.924206435553362e+17,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,False,"[0, 85]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 892420639486877696, 'id_str': '892420639486877696', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg', 'url': 'https://t.co/MgUWQ76dJU', 'display_url': 'pic.twitter.com/MgUWQ76dJU', 'expanded_url': 'https://twitter.com/dog_rates/status/892420643555336193/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 540, 'h': 528, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 540, 'h': 528, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 528, 'resize': 'fit'}}}]}","{'media': [{'id': 892420639486877696, 'id_str': '892420639486877696', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg', 'url': 'https://t.co/MgUWQ76dJU', 'display_url': 'pic.twitter.com/MgUWQ76dJU', 'expanded_url': 'https://twitter.com/dog_rates/status/892420643555336193/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 540, 'h': 528, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 540, 'h': 528, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 528, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,8853.0,39467.0,en,,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,False,False,False,False,,,,,,,,,
Tue Aug 01 00:17:27 +0000 2017,8.921774213063434e+17,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",False,"[0, 138]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 892177413194625024, 'id_str': '892177413194625024', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg', 'url': 'https://t.co/0Xxu71qeIV', 'display_url': 'pic.twitter.com/0Xxu71qeIV', 'expanded_url': 'https://twitter.com/dog_rates/status/892177421306343426/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1407, 'h': 1600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 598, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1055, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 892177413194625024, 'id_str': '892177413194625024', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg', 'url': 'https://t.co/0Xxu71qeIV', 'display_url': 'pic.twitter.com/0Xxu71qeIV', 'expanded_url': 'https://twitter.com/dog_rates/status/892177421306343426/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1407, 'h': 1600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 598, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1055, 'h': 1200, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,6514.0,33819.0,en,,,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,False,False,False,False,,,,,,,,,
Mon Jul 31 00:18:03 +0000 2017,8.918151813780849e+17,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,False,"[0, 121]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 891815175371796480, 'id_str': '891815175371796480', 'indices': [122, 145], 'media_url': 'http://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg', 'url': 'https://t.co/wUnZnhtVJB', 'display_url': 'pic.twitter.com/wUnZnhtVJB', 'expanded_url': 'https://twitter.com/dog_rates/status/891815181378084864/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}","{'media': [{'id': 891815175371796480, 'id_str': '891815175371796480', 'indices': [122, 145], 'media_url': 'http://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg', 'url': 'https://t.co/wUnZnhtVJB', 'display_url': 'pic.twitter.com/wUnZnhtVJB', 'expanded_url': 'https://twitter.com/dog_rates/status/891815181378084864/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,4328.0,25461.0,en,,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,False,False,False,False,8.918151813780849e+17,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,malamute,0.078253,kelpie,0.0313789
Sun Jul 30 15:58:51 +0000 2017,8.916895572798587e+17,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,False,"[0, 79]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 891689552724799489, 'id_str': '891689552724799489', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg', 'url': 'https://t.co/tD36da7qLQ', 'display_url': 'pic.twitter.com/tD36da7qLQ', 'expanded_url': 'https://twitter.com/dog_rates/status/891689557279858688/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}","{'media': [{'id': 891689552724799489, 'id_str': '891689552724799489', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg', 'url': 'https://t.co/tD36da7qLQ', 'display_url': 'pic.twitter.com/tD36da7qLQ', 'expanded_url': 'https://twitter.com/dog_rates/status/891689557279858688/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,8964.0,42908.0,en,,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,False,False,False,False,8.916895572798587e+17,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper_towel,0.17027799999999998,Labrador_retriever,0.168086,spatula,0.0408359
Sat Jul 29 16:00:24 +0000 2017,8.913275589266883e+17,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",False,"[0, 138]","{'hashtags': [{'text': 'BarkWeek', 'indices': [129, 138]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 891327551943041024, 'id_str': '891327551943041024', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg', 'url': 'https://t.co/AtUZn91f7f', 'display_url': 'pic.twitter.com/AtUZn91f7f', 'expanded_url': 'https://twitter.com/dog_rates/status/891327558926688256/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 720, 'h': 540, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 540, 'resize': 'fit'}}}]}","{'media': [{'id': 891327551943041024, 'id_str': '891327551943041024', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg', 'url': 'https://t.co/AtUZn91f7f', 'display_url': 'pic.twitter.com/AtUZn91f7f', 'expanded_url': 'https://twitter.com/dog_rates/status/891327558926688256/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 720, 'h': 540, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 540, 'resize': 'fit'}}}, {'id': 891327551947157504, 'id_str': '891327551947157504', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg', 'url': 'https://t.co/AtUZn91f7f', 'display_url': 'pic.twitter.com/AtUZn91f7f', 'expanded_url': 'https://twitter.com/dog_rates/status/891327558926688256/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 720, 'h': 540, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 540, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,9774.0,41048.0,en,,,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,False,False,False,False,8.913275589266883e+17,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,English_springer,0.22577,German_short-haired_pointer,0.175219
Sat Jul 29 00:08:17 +0000 2017,8.910879508758979e+17,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,False,"[0, 138]","{'hashtags': [{'text': 'BarkWeek', 'indices': [129, 138]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 891087942176911360, 'id_str': '891087942176911360', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg', 'url': 'https://t.co/kQ04fDDRmh', 'display_url': 'pic.twitter.com/kQ04fDDRmh', 'expanded_url': 'https://twitter.com/dog_rates/status/891087950875897856/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 899, 'h': 899, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 899, 'h': 899, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}","{'media': [{'id': 891087942176911360, 'id_str': '891087942176911360', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg', 'url': 'https://t.co/kQ04fDDRmh', 'display_url': 'pic.twitter.com/kQ04fDDRmh', 'expanded_url': 'https://twitter.com/dog_rates/status/891087950875897856/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 899, 'h': 899, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 899, 'h': 899, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",http://twitter.com/download/iphone,,,,,,False,3261.0,20562.0,en,,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,False,False,False,False,8.910879508758979e+17,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,Chesapeake_Bay_retriever,0.425595,Irish_terrier,0.116317,Indian_elephant,0.07690219999999999
Fri Jul 28 16:27:12 +0000 2017,8.909719131739914e+17,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Zr4hWfAs1H', 'expanded_url': 'https://gofundme.com/ydvmve-surgery-for-jax', 'display_url': 'gofundme.com/ydvmve-surgery…', 'indices': [117, 140]}], 'media': [{'id': 890971906207338496, 'id_str': '890971906207338496', 'indices': [141, 164], 'media_url': 'http://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg', 'url': 'https://t.co/tVJBRMnhxl', 'display_url': 'pic.twitter.com/tVJBRMnhxl', 'expanded_url': 'https://twitter.com/dog_rates/status/890971913173991426/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 768, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 768, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}","{'media': [{'id': 890971906207338496, 'id_str': '890971906207338496', 'indices': [141, 164], 'media_url': 'http://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg', 'url': 'https://t.co/tVJBRMnhxl', 'display_url': 'pic.twitter.com/tVJBRMnhxl', 'expanded_url': 'https://twitter.com/dog_rates/status/890971913173991426/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 768, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 768, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,2158.0,12041.0,en,,,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,False,False,False,False,,,,,,,,,
Fri Jul 28 00:22:40 +0000 2017,8.907291814112379e+17,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,False,"[0, 118]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 890729118844600320, 'id_str': '890729118844600320', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg', 'url': 'https://t.co/v0nONBcwxq', 'display_url': 'pic.twitter.com/v0nONBcwxq', 'expanded_url': 'https://twitter.com/dog_rates/status/890729181411237888/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 1328, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 614, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1084, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 890729118844600320, 'id_str': '890729118844600320', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg', 'url': 'https://t.co/v0nONBcwxq', 'display_url': 'pic.twitter.com/v0nONBcwxq', 'expanded_url': 'https://twitter.com/dog_rates/status/890729181411237888/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 1328, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 614, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1084, 'h': 1200, 'resize': 'fit'}}}, {'id': 890729118848892928, 'id_str': '890729118848892928', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg', 'url': 'https://t.co/v0nONBcwxq', 'display_url': 'pic.twitter.com/v0nONBcwxq', 'expanded_url': 'https://twitter.com/dog_rates/status/890729181411237888/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,16716.0,56848.0,en,,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,False,False,False,False,8.907291814112379e+17,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,Pomeranian,0.566142,Eskimo_dog,0.17840599999999998,Pembroke,0.0765069
Thu Jul 27 16:25:51 +0000 2017,8.906091851503124e+17,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,False,"[0, 122]","{'hashtags': [{'text': 'BarkWeek', 'indices': [113, 122]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 890609177319665665, 'id_str': '890609177319665665', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg', 'url': 'https://t.co/9TwLuAGH0b', 'display_url': 'pic.twitter.com/9TwLuAGH0b', 'expanded_url': 'https://twitter.com/dog_rates/status/890609185150312448/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}","{'media': [{'id': 890609177319665665, 'id_str': '890609177319665665', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg', 'url': 'https://t.co/9TwLuAGH0b', 'display_url': 'pic.twitter.com/9TwLuAGH0b', 'expanded_url': 'https://twitter.com/dog_rates/status/890609185150312448/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,4429.0,28226.0,en,,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,False,False,False,False,8.906091851503124e+17,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_terrier,0.487574,Irish_setter,0.193054,Chesapeake_Bay_retriever,0.118184
Wed Jul 26 15:59:51 +0000 2017,8.902402553491988e+17,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,False,"[0, 133]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 890240245463175168, 'id_str': '890240245463175168', 'indices': [134, 157], 'media_url': 'http://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg', 'url': 'https://t.co/t1bfwz5S2A', 'display_url': 'pic.twitter.com/t1bfwz5S2A', 'expanded_url': 'https://twitter.com/dog_rates/status/890240255349198849/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 890240245463175168, 'id_str': '890240245463175168', 'indices': [134, 157], 'media_url': 'http://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg', 'url': 'https://t.co/t1bfwz5S2A', 'display_url': 'pic.twitter.com/t1bfwz5S2A', 'expanded_url': 'https://twitter.com/dog_rates/status/890240255349198849/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1201, 'h': 1600, 'resize': 'fit'}, 'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}}}]}",http://twitter.com/download/iphone,,,,,,False,7711.0,32467.0,en,,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,True,False,False,False,,,,,,,,,
